Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
9b9a153c,A,City A,visitante,Male,Eletronic accessories,87.71,2,8.77,184.19,2025-12-30,12:01:45,Credit Card,175.42,4.76,8.77,7.7
cbcc36d7,A,City C,menbro,Female,Food and beverages,29.81,9,13.41,281.7,2025-06-01,10:47:11,Credit Card,268.29,4.76,13.41,4.4
dd8ba1fc,C,City C,visitante,Male,Sport and travel,46.88,7,16.41,344.57,2025-10-31,02:20:37,Cash,328.16,4.76,16.41,5.8
aa7236b4,C,City A,menbro,Male,Health and beauty,91.94,7,32.18,675.76,2025-06-05,22:48:51,Cash,643.58,4.76,32.18,4.8
af17637e,B,City B,visitante,Female,Home and life style,99.94,10,49.97,1049.37,2025-02-26,09:41:06,Cash,999.4,4.76,49.97,7.7
635acb64,A,City C,visitante,Male,Food and beverages,95.03,8,38.01,798.25,2026-01-03,21:34:11,Cash,760.24,4.76,38.01,7.7
6650d2bc,B,City C,menbro,Female,Health and beauty,84.99,7,29.75,624.68,2025-05-25,21:37:55,Ewallet,594.93,4.76,29.75,5.2
cfb10b4a,B,City B,visitante,Male,Fashion accessories,94.68,8,37.87,795.31,2025-07-03,20:29:52,Credit Card,757.44,4.76,37.87,9.9
8ae029af,A,City A,visitante,Male,Food and beverages,44.67,2,4.47,93.81,2025-11-25,15:38:04,Ewallet,89.34,4.76,4.47,8.5
946d1bc8,B,City C,menbro,Female,Home and life style,20.55,9,9.25,194.2,2026-01-24,23:51:02,Credit Card,184.95,4.76,9.25,6.9
9784e8a1,A,City A,visitante,Male,Eletronic accessories,28.12,8,11.25,236.21,2025-07-14,20:59:12,Credit Card,224.96,4.76,11.25,8.4
89bfcdd3,C,City A,visitante,Female,Food and beverages,15.34,6,4.6,96.64,2025-10-02,16:21:06,Cash,92.04,4.76,4.6,7.4
fb765315,C,City B,menbro,Male,Eletronic accessories,33.78,6,10.13,212.81,2025-10-29,04:26:09,Cash,202.68,4.76,10.13,8.0
